,Iris-setosa
84,2
98,2
109,3
38,1
39,1
102,3
126,3
138,3
135,3
78,2
70,2
110,3
148,3
99,3
120,3
107,3
5,1
40,1
124,3
44,1
77,2
24,1
48,1
10,1
103,3
29,1
71,2
9,1
82,2
145,3
116,3
62,2
117,3
146,3
129,3
139,3
17,1
94,2
75,2
90,2
101,3
89,2
96,2
140,3
127,3
68,2
55,2
59,2
137,3
76,2
97,2
112,3
74,2
65,2
93,2
52,2
23,1
1,1
83,2
57,2
14,1
43,1
122,3
106,3
32,1
15,1
111,3
3,1
67,2
144,3
50,2
35,1
7,1
100,3
121,3
61,2
2,1
113,3
26,1
85,2
12,1
123,3
54,2
22,1
114,3
13,1
108,3
37,1
16,1
47,1
141,3
132,3
49,2
130,3
42,1
45,1
143,3
60,2
27,1
118,3
142,3
25,1
21,1
134,3
18,1
66,2
30,1
104,3
58,2
28,1
46,1
6,1
92,2
34,1
64,2
91,2
81,2
51,2
0,1
